term_1	term_2	weight
135	CORUM:1223	HPA:0461411	0.7500000
136	CORUM:1223	HPA:0461441	0.7500000
137	CORUM:1223	HPA:0461461	0.7500000
138	CORUM:1223	HPA:0470181	0.7500000
139	CORUM:1223	HPA:0470182	0.7500000
140	CORUM:1223	HPA:0470201	0.7500000
141	CORUM:1223	HPA:0471391	0.7500000
142	CORUM:1223	HPA:0471392	0.7500000
143	CORUM:1223	HPA:0471411	0.7500000
144	CORUM:1223	HPA:0471412	0.7500000
145	CORUM:1223	HPA:0471441	0.7500000
146	CORUM:1223	HPA:0471461	0.7500000
147	CORUM:1223	HPA:0471462	0.7500000
148	CORUM:1223	HPA:0481291	0.7500000
149	CORUM:1223	HPA:0481292	0.7500000
150	CORUM:1223	HPA:0600000	0.7500000
151	CORUM:1223	HPA:0600432	0.7500000
152	CORUM:1223	HPA:0600441	0.7500000
153	CORUM:1223	REAC:R-HSA-392499	0.7500000
154	CORUM:178	GO:0005515	0.7500000
155	CORUM:178	GO:0015399	0.9166667
156	CORUM:178	GO:0015453	0.9166667
157	CORUM:178	GO:0016020	1.0000000
158	CORUM:178	GO:0022804	0.9166667
159	CORUM:178	GO:0031090	1.0000000
160	CORUM:178	HPA:0040000	0.6666667
161	CORUM:178	HPA:0040081	0.6666667
162	CORUM:178	HPA:0160052	1.0000000
163	CORUM:178	HPA:0300412	0.5833333
164	CORUM:178	HPA:0310000	0.6666667
165	CORUM:178	HPA:0310441	0.6666667
166	CORUM:178	HPA:0310442	0.5833333
167	CORUM:178	HPA:0460181	0.5833333
168	CORUM:178	HPA:0461391	0.5833333
169	CORUM:178	HPA:0461411	0.5833333
170	CORUM:178	HPA:0461461	0.5833333
171	CORUM:178	HPA:0470181	0.5833333
172	CORUM:178	HPA:0471391	0.5833333
173	CORUM:178	HPA:0471392	0.5833333
174	CORUM:178	HPA:0471411	0.5833333
175	CORUM:178	HPA:0471461	0.5833333
176	CORUM:178	HPA:0530000	0.7500000
177	CORUM:178	HPA:0530711	0.7500000
178	CORUM:178	HPA:0530721	0.6666667
179	CORUM:178	HPA:0530722	0.5833333
180	CORUM:178	HPA:0540053	0.8333333
181	CORUM:178	HPA:0550053	0.8333333
182	CORUM:178	HPA:0600000	0.9166667
183	CORUM:178	HPA:0600432	0.5833333
184	CORUM:178	HPA:0600441	0.8333333
185	CORUM:178	KEGG:05208	0.7500000
186	CORUM:178	REAC:R-HSA-1428517	1.0000000
187	CORUM:178	REAC:R-HSA-1430728	1.0000000
188	CORUM:178	REAC:R-HSA-163200	1.0000000
189	CORUM:178	REAC:R-HSA-611105	1.0000000
190	CORUM:178	TF:M08775	0.5833333
191	CORUM:191	CORUM:192	1.0000000
192	CORUM:191	CORUM:194	1.0000000
193	CORUM:191	GO:0002253	1.0000000
194	CORUM:191	GO:0002376	1.0000000
195	CORUM:191	GO:0002474	1.0000000
196	CORUM:191	GO:0002478	1.0000000
197	CORUM:191	GO:0002479	1.0000000
198	CORUM:191	GO:0002520	0.8333333
199	CORUM:191	GO:0002682	1.0000000
200	CORUM:191	GO:0002684	1.0000000
201	CORUM:191	GO:0002764	1.0000000
202	CORUM:191	GO:0002831	1.0000000
203	CORUM:191	GO:0002833	1.0000000
204	CORUM:191	GO:0005515	0.8333333
205	CORUM:191	GO:0006810	0.8333333
206	CORUM:191	GO:0006950	1.0000000
207	CORUM:191	GO:0006952	1.0000000
208	CORUM:191	GO:0006955	1.0000000
209	CORUM:191	GO:0007154	1.0000000
210	CORUM:191	GO:0007165	1.0000000
211	CORUM:191	GO:0007166	1.0000000
212	CORUM:191	GO:0009056	0.8333333
213	CORUM:191	GO:0009607	1.0000000
214	CORUM:191	GO:0009966	1.0000000
215	CORUM:191	GO:0009967	1.0000000
216	CORUM:191	GO:0010629	1.0000000
217	CORUM:191	GO:0010646	1.0000000
218	CORUM:191	GO:0010647	1.0000000
219	CORUM:191	GO:0019221	1.0000000
220	CORUM:191	GO:0019882	1.0000000
221	CORUM:191	GO:0019884	1.0000000
222	CORUM:191	GO:0023051	1.0000000
223	CORUM:191	GO:0023052	1.0000000
224	CORUM:191	GO:0023056	1.0000000
225	CORUM:191	GO:0030097	0.8333333
226	CORUM:191	GO:0030154	0.8333333
227	CORUM:191	GO:0031347	1.0000000
228	CORUM:191	GO:0031349	1.0000000
229	CORUM:191	GO:0031982	1.0000000
230	CORUM:191	GO:0032101	1.0000000
231	CORUM:191	GO:0032103	1.0000000
232	CORUM:191	GO:0032501	0.8333333
233	CORUM:191	GO:0032502	0.8333333
234	CORUM:191	GO:0033209	1.0000000
235	CORUM:191	GO:0034097	1.0000000
236	CORUM:191	GO:0034612	1.0000000
237	CORUM:191	GO:0035556	1.0000000
238	CORUM:191	GO:0036388	1.0000000
239	CORUM:191	GO:0042590	1.0000000
240	CORUM:191	GO:0043207	1.0000000
241	CORUM:191	GO:0043230	1.0000000
242	CORUM:191	GO:0044419	1.0000000
243	CORUM:191	GO:0045087	1.0000000
244	CORUM:191	GO:0045088	1.0000000
245	CORUM:191	GO:0045089	1.0000000
246	CORUM:191	GO:0048002	1.0000000
247	CORUM:191	GO:0048518	1.0000000
248	CORUM:191	GO:0048519	1.0000000
249	CORUM:191	GO:0048522	1.0000000
250	CORUM:191	GO:0048523	1.0000000
251	CORUM:191	GO:0048534	0.8333333
252	CORUM:191	GO:0048583	1.0000000
253	CORUM:191	GO:0048584	1.0000000
254	CORUM:191	GO:0048585	1.0000000
255	CORUM:191	GO:0048869	0.8333333
256	CORUM:191	GO:0050776	1.0000000
257	CORUM:191	GO:0050778	1.0000000
258	CORUM:191	GO:0050789	1.0000000
259	CORUM:191	GO:0050794	0.8333333
260	CORUM:191	GO:0050896	1.0000000
261	CORUM:191	GO:0051179	0.8333333
262	CORUM:191	GO:0051234	0.8333333
263	CORUM:191	GO:0051707	1.0000000
264	CORUM:191	GO:0051716	1.0000000
265	CORUM:191	GO:0055085	0.8333333
266	CORUM:191	GO:0065007	0.8333333
267	CORUM:191	GO:0065008	0.8333333
268	CORUM:191	GO:0065010	1.0000000
269	CORUM:191	GO:0070062	1.0000000
270	CORUM:191	GO:0070498	1.0000000
271	CORUM:191	GO:0070555	1.0000000
272	CORUM:191	GO:0071310	1.0000000
273	CORUM:191	GO:0071345	1.0000000
274	CORUM:191	GO:0071347	1.0000000
275	CORUM:191	GO:0071356	1.0000000
276	CORUM:191	GO:0071456	1.0000000
277	CORUM:191	GO:0080134	1.0000000
278	CORUM:191	GO:0098542	1.0000000
279	CORUM:191	GO:1902036	1.0000000
280	CORUM:191	GO:1903561	1.0000000
281	CORUM:191	HPA:0040000	0.6666667
282	CORUM:191	HPA:0040081	0.6666667
283	CORUM:191	HPA:0300412	0.6666667
284	CORUM:191	HPA:0530000	0.6666667
285	CORUM:191	HPA:0530711	0.6666667
286	CORUM:191	HPA:0600000	0.6666667
287	CORUM:191	HPA:0600441	0.6666667
288	CORUM:191	REAC:R-HSA-1236974	1.0000000
289	CORUM:191	REAC:R-HSA-1236975	1.0000000
290	CORUM:191	REAC:R-HSA-1266738	1.0000000
291	CORUM:191	REAC:R-HSA-1280215	1.0000000
292	CORUM:191	REAC:R-HSA-1280218	0.8333333
293	CORUM:191	REAC:R-HSA-1643685	0.8333333
294	CORUM:191	REAC:R-HSA-168249	1.0000000
295	CORUM:191	REAC:R-HSA-168256	1.0000000
296	CORUM:191	REAC:R-HSA-180534	0.6666667
297	CORUM:191	REAC:R-HSA-211733	0.6666667
298	CORUM:191	REAC:R-HSA-2262752	1.0000000
299	CORUM:191	REAC:R-HSA-349425	0.6666667
300	CORUM:191	REAC:R-HSA-376176	1.0000000
301	CORUM:191	REAC:R-HSA-422475	1.0000000
302	CORUM:191	REAC:R-HSA-449147	1.0000000
303	CORUM:191	REAC:R-HSA-450408	0.6666667
304	CORUM:191	REAC:R-HSA-5357801	0.8333333
305	CORUM:191	REAC:R-HSA-5663205	1.0000000
306	CORUM:191	REAC:R-HSA-5687128	0.6666667
